site,window,snow_thresh_cm,night_gap_pp,mcnemar_z,n_night,day_gap_pp,n_day,dod_scene,dod_scene_lo,dod_scene_hi,dod_unit,dod_unit_lo,dod_unit_hi,n_night_units,n_day_units,night_gap_unit_pp,night_gap_unit_lo,night_gap_unit_hi,pixel_night_gap_pp,pixel_mcnemar_z,pixel_day_gap_pp,pixel_dod_unit,pixel_dod_unit_lo,pixel_dod_unit_hi
winnipeg,calendar,0.5,5.8,7.11,2406,5.3,2513,0.4,-1.8,2.7,1.1,-2.24,4.3,656,562,6.0,3.86,8.21,-0.2,0.15,-10.6,10.3,6.91,13.65
winnipeg,dynamic,0.5,4.6,4.89,1769,2.6,1945,2.0,-0.6,4.6,2.5,-1.22,6.1,506,437,5.0,2.61,7.41,-1.3,1.3,-13.0,11.6,8.03,15.33
calgary,calendar,1.0,5.6,6.93,2414,-9.3,2516,14.9,12.6,17.2,14.8,11.36,18.19,632,560,6.3,4.08,8.58,-1.0,1.13,-16.9,15.4,11.89,18.83
calgary,dynamic,1.0,8.6,8.5,1646,-12.5,1872,21.1,18.4,23.7,20.4,16.61,24.35,466,418,8.9,6.26,11.51,2.1,2.05,-19.8,20.7,16.87,24.54
edmonton,calendar,1.0,-2.8,3.32,2330,-5.3,2517,2.5,0.2,4.8,3.0,-0.43,6.42,627,529,-2.2,-4.51,0.27,-6.9,8.15,-12.4,7.4,3.68,11.03
edmonton,dynamic,1.0,-1.8,1.81,1635,-7.7,1950,6.0,3.4,8.6,5.9,2.15,9.81,482,411,-1.3,-3.85,1.26,-3.9,3.93,-16.5,13.9,9.87,17.92
halifax,calendar,1.0,5.3,7.28,3324,-8.1,3338,13.3,11.6,15.1,13.6,10.95,16.23,870,848,4.8,2.83,6.82,-1.0,1.38,-10.2,9.6,6.88,12.38
halifax,dynamic,1.0,2.4,2.78,2257,-10.9,2296,13.4,11.2,15.5,13.9,10.74,17.08,596,583,1.9,-0.53,4.3,-3.1,3.49,-14.1,11.7,8.15,15.03
montreal,calendar,1.0,14.5,16.38,2489,-1.9,2538,16.5,14.3,18.7,16.6,13.41,19.89,658,632,14.8,12.33,17.22,6.4,7.61,-4.8,12.1,8.92,15.31
montreal,dynamic,1.0,15.4,15.4,2058,-3.1,2099,18.5,16.1,21.0,18.5,14.87,22.27,553,526,15.5,12.72,18.15,8.1,8.55,-6.4,15.0,11.24,18.74
ottawa,calendar,1.0,3.9,5.23,2519,-8.5,2540,12.5,10.4,14.5,12.9,10.09,15.88,662,650,4.0,2.04,5.94,0.6,0.68,-9.4,11.5,8.35,14.79
ottawa,dynamic,1.0,3.2,3.99,2103,-10.5,2138,13.7,11.5,15.8,14.1,11.06,17.05,560,549,3.3,1.19,5.27,1.6,1.71,-11.3,14.5,10.91,18.09
toronto,calendar,1.0,11.6,13.39,2509,-0.4,2514,12.0,9.9,14.1,12.7,9.64,15.87,672,654,12.4,10.01,14.98,10.3,11.39,-3.9,15.0,11.36,18.28
toronto,dynamic,1.0,11.2,12.74,2428,-1.2,2432,12.3,10.2,14.4,12.8,9.81,15.91,653,634,12.0,9.59,14.52,10.1,10.86,-4.9,15.4,11.82,18.88
vancouver,calendar,1.0,7.7,11.71,3324,-3.2,3324,10.9,9.3,12.5,10.6,8.43,12.91,862,775,7.4,5.57,9.33,3.3,5.04,-5.7,9.2,6.75,11.6
vancouver,dynamic,1.0,7.4,10.25,2793,-3.5,2820,11.0,9.2,12.8,10.8,8.15,13.26,734,656,7.2,5.22,9.27,3.5,4.76,-5.7,9.3,6.65,12.02
winnipeg,calendar,1.0,5.8,7.11,2406,5.3,2513,0.4,-1.8,2.7,1.1,-2.24,4.3,656,562,6.0,3.86,8.21,-0.2,0.15,-10.6,10.3,6.91,13.65
winnipeg,dynamic,1.0,4.6,5.03,1840,2.7,2024,2.0,-0.6,4.5,2.5,-0.97,5.83,524,454,5.0,2.58,7.31,-1.2,1.23,-12.7,11.6,7.92,15.13
calgary,calendar,2.0,5.6,6.93,2414,-9.3,2516,14.9,12.6,17.2,14.8,11.36,18.19,632,560,6.3,4.08,8.58,-1.0,1.13,-16.9,15.4,11.89,18.83
calgary,dynamic,2.0,8.2,8.41,1734,-12.3,1947,20.5,17.9,23.1,19.8,16.33,23.62,485,436,8.5,5.83,11.18,2.0,1.95,-19.5,20.1,16.31,23.92
edmonton,calendar,2.0,-2.8,3.32,2330,-5.3,2517,2.5,0.2,4.8,3.0,-0.43,6.42,627,529,-2.2,-4.51,0.27,-6.9,8.15,-12.4,7.4,3.68,11.03
edmonton,dynamic,2.0,-1.6,1.76,1760,-7.0,2054,5.3,2.8,7.9,5.3,1.52,9.13,505,431,-1.3,-3.84,1.27,-4.1,4.42,-15.5,12.8,9.11,16.77
halifax,calendar,2.0,5.3,7.28,3324,-8.1,3338,13.3,11.6,15.1,13.6,10.95,16.23,870,848,4.8,2.83,6.82,-1.0,1.38,-10.2,9.6,6.88,12.38
halifax,dynamic,2.0,3.2,3.77,2410,-10.3,2454,13.5,11.4,15.6,13.8,10.81,16.81,634,623,2.5,0.45,4.97,-2.8,3.3,-13.4,11.2,7.95,14.44
montreal,calendar,2.0,14.5,16.38,2489,-1.9,2538,16.5,14.3,18.7,16.6,13.41,19.89,658,632,14.8,12.33,17.22,6.4,7.61,-4.8,12.1,8.92,15.31
montreal,dynamic,2.0,15.7,15.82,2115,-3.1,2190,18.8,16.3,21.2,18.7,15.18,22.25,568,549,15.7,13.08,18.47,8.3,8.87,-6.1,14.8,11.26,18.45
ottawa,calendar,2.0,3.9,5.23,2519,-8.5,2540,12.5,10.4,14.5,12.9,10.09,15.88,662,650,4.0,2.04,5.94,0.6,0.68,-9.4,11.5,8.35,14.79
ottawa,dynamic,2.0,3.4,4.31,2175,-10.2,2202,13.6,11.4,15.7,14.0,11.03,17.0,580,568,3.5,1.48,5.53,1.6,1.74,-11.1,14.2,10.76,17.81
toronto,calendar,2.0,11.6,13.39,2509,-0.4,2514,12.0,9.9,14.1,12.7,9.64,15.87,672,654,12.4,10.01,14.98,10.3,11.39,-3.9,15.0,11.36,18.28
toronto,dynamic,2.0,10.9,12.79,2520,-0.7,2560,11.6,9.5,13.7,12.2,9.23,15.28,676,664,11.8,9.41,14.26,9.5,10.51,-4.1,14.2,10.75,17.65
vancouver,calendar,2.0,7.7,11.71,3324,-3.2,3324,10.9,9.3,12.5,10.6,8.43,12.91,862,775,7.4,5.57,9.33,3.3,5.04,-5.7,9.2,6.75,11.6
vancouver,dynamic,2.0,7.5,10.61,2924,-3.4,2970,10.9,9.2,12.7,10.7,8.29,13.2,767,692,7.3,5.34,9.25,3.4,4.75,-5.6,9.1,6.64,11.54
winnipeg,calendar,2.0,5.8,7.11,2406,5.3,2513,0.4,-1.8,2.7,1.1,-2.24,4.3,656,562,6.0,3.86,8.21,-0.2,0.15,-10.6,10.3,6.91,13.65
winnipeg,dynamic,2.0,5.2,5.76,1948,3.1,2114,2.1,-0.3,4.6,2.5,-0.96,5.97,546,472,5.4,3.01,7.77,-0.5,0.51,-12.2,11.5,8.09,14.98
calgary,calendar,5.0,5.6,6.93,2414,-9.3,2516,14.9,12.6,17.2,14.8,11.36,18.19,632,560,6.3,4.08,8.58,-1.0,1.13,-16.9,15.4,11.89,18.83
calgary,dynamic,5.0,7.5,8.38,1994,-11.8,2160,19.3,16.9,21.8,18.8,15.43,22.27,541,480,8.0,5.51,10.44,1.1,1.11,-18.9,19.1,15.76,22.8
edmonton,calendar,5.0,-2.8,3.32,2330,-5.3,2517,2.5,0.2,4.8,3.0,-0.43,6.42,627,529,-2.2,-4.51,0.27,-6.9,8.15,-12.4,7.4,3.68,11.03
edmonton,dynamic,5.0,-2.1,2.31,1908,-6.5,2224,4.4,1.9,6.8,4.8,1.18,8.29,535,463,-1.4,-3.95,1.06,-4.9,5.36,-14.7,11.7,8.24,15.3
halifax,calendar,5.0,5.3,7.28,3324,-8.1,3338,13.3,11.6,15.1,13.6,10.95,16.23,870,848,4.8,2.83,6.82,-1.0,1.38,-10.2,9.6,6.88,12.38
halifax,dynamic,5.0,3.7,4.61,2663,-9.6,2687,13.3,11.3,15.3,13.6,10.77,16.55,699,682,3.1,0.94,5.27,-2.6,3.26,-12.7,10.5,7.42,13.47
montreal,calendar,5.0,14.5,16.38,2489,-1.9,2538,16.5,14.3,18.7,16.6,13.41,19.89,658,632,14.8,12.33,17.22,6.4,7.61,-4.8,12.1,8.92,15.31
montreal,dynamic,5.0,14.9,15.91,2281,-3.0,2336,17.9,15.6,20.2,17.9,14.47,21.36,608,583,15.1,12.4,17.69,7.5,8.47,-5.8,13.8,10.41,17.3
ottawa,calendar,5.0,3.9,5.23,2519,-8.5,2540,12.5,10.4,14.5,12.9,10.09,15.88,662,650,4.0,2.04,5.94,0.6,0.68,-9.4,11.5,8.35,14.79
ottawa,dynamic,5.0,4.1,5.4,2319,-9.6,2327,13.7,11.6,15.8,14.0,11.04,16.83,615,601,4.2,2.17,6.22,1.5,1.74,-10.7,13.6,10.17,17.11
toronto,calendar,5.0,11.6,13.39,2509,-0.4,2514,12.0,9.9,14.1,12.7,9.64,15.87,672,654,12.4,10.01,14.98,10.3,11.39,-3.9,15.0,11.36,18.28
toronto,dynamic,5.0,11.0,13.67,2795,0.0,2826,11.0,9.0,12.9,11.5,8.66,14.46,748,735,11.8,9.44,14.23,8.4,9.86,-3.1,12.2,9.06,15.5
vancouver,calendar,5.0,7.7,11.71,3324,-3.2,3324,10.9,9.3,12.5,10.6,8.43,12.91,862,775,7.4,5.57,9.33,3.3,5.04,-5.7,9.2,6.75,11.6
vancouver,dynamic,5.0,7.7,11.25,3100,-3.3,3123,10.9,9.3,12.6,10.7,8.33,13.25,807,726,7.4,5.46,9.29,3.5,5.14,-5.6,9.3,6.81,11.86
winnipeg,calendar,5.0,5.8,7.11,2406,5.3,2513,0.4,-1.8,2.7,1.1,-2.24,4.3,656,562,6.0,3.86,8.21,-0.2,0.15,-10.6,10.3,6.91,13.65
winnipeg,dynamic,5.0,5.9,6.64,2119,3.2,2278,2.7,0.3,5.0,3.2,-0.19,6.58,586,508,6.2,3.81,8.56,0.0,-0.05,-11.8,11.9,8.36,15.27
